#threads,exec_time,speedup
1S,0.057076
0.058022
0.082797
0.156589,1
1,0.057076
0.058022
0.082797
0.121861,.057076
.058022
.082797
2.743517
.058022
.082797
.121861
2,0.057076
0.058022
0.082797
0.117071,.057076
.058022
.082797
2.743517
.058022
.082797
.117071
3,0.057076
0.058022
0.082797
0.128155,.057076
.058022
.082797
2.743517
.058022
.082797
.128155
4,0.057076
0.058022
0.082797
0.129119,.057076
.058022
.082797
2.743517
.058022
.082797
.129119
